OBJECTID,ATTRIBUTE,SHAPEAREA,SHAPELEN
75,E1UB4L,106362.346612286,1527.3951934892
76,E1UB4L,32097.8945891467,813.718058741868
77,E1UB4L,7165.41008521888,313.746988676177
78,E1UB4L,13386.2618559349,494.859150457154
79,E1UB4L,245858.911528189,2566.57373979485
80,E1UB4L,15978.9057103139,498.226038774107
81,E1UB4L,5006.14425820014,316.420859459669
82,E1UB4L,7146.86021046107,308.903277322531
83,E1UB4L,3711.60551455711,239.560871248711
84,E1UB4L,5931.23516775421,309.572000403641
85,E1UB4L,17863.6172929613,562.852065368878
86,E1UB4L,7577.98196632,328.376443067466
87,E1UB4L,14353.3788502925,464.630005570953
88,E1UB4L,32379.2316117181,852.695775923893
89,E1UB4L,4084.29252280314,245.082095678207
90,E1UB4L,6618.8107126212,317.25112695734
91,E1UB4L,5505.79828649599,283.864249060052
92,E1UB4L,4698.93418626214,306.93126293945
93,E1UB4L,31819.4286478453,745.986639900893
94,E1UB4L,12074.5312773822,433.81627122223
95,E1UB4L,9462.0865618932,417.165321887048
96,E1UB4L,18814.5590227199,544.637180300849
97,E1UB4L,8160.58232033398,355.569456700326
98,E1UB4L,14358.9680831418,461.725609923124
99,E1UB4L,5510.53377109619,282.061863035098
100,E1UB4L,30679.9775115334,684.170405133841
101,E1UB4L,33584.3239061866,996.285712809888
102,E1UB4L,8841.25260694554,365.510544457171
103,E1UB4L,24588.0213584492,625.6738784746
104,E1UB4L,32086.3544774179,854.054563312948
105,E1UB4L,72601.9829056657,1323.87831952469
106,E1UB4L,51556.4163843968,1042.28678893214
107,E1UB4L,50887.6424673675,1088.32394215278
108,E1UB4L,28223.3593223109,622.581433894795
109,E1UB4L,37281.9124194045,743.779350404082
110,E1UB4L,14370.9783307272,453.061285424206
111,E1UB4L,190666.50128787,3497.56378723325
112,E1UB4L,16636.8553366898,713.453434662167
113,E1UB4L,62264.480705017,957.975805551298
114,E1UB4L,15121.5539401598,491.594350049927
115,E1UB4L,14819.7637672465,461.515589916716
116,E1UB4L,16216.6928218568,498.775746122975
117,E1UB4L,21498.9901254025,648.945953295194
118,E1UB4L,18042.691612312,503.383303683285
119,E1UB4L,25903.9025927562,738.717790233195
120,E1UB4L,37639.9363761937,811.911538646159
121,E1UB4L,9094.49375709764,379.361140050764
122,E1UB4L,7362.87360826327,319.130310858622
123,E1UB4L,28496.3315827975,826.069626331786
124,E1UB4L,12653.2712280076,430.137197086456
125,E1UB4L,6459.31692377435,311.228299856337
126,E1UB4L,20511.7026112819,527.636807502027
127,E1UB4L,20473.2925656438,617.285572618973
128,E1UB4L,1671.6520115695,190.381401563997
129,E1UB4L,26596.7915520223,729.930905470721
130,E1UB4L,3569.91705159954,218.422781412143
131,E1UB4L,4837.59093773454,309.043238706721
132,E1UB4L,5147.78620047646,282.333345189639
133,E1UB4L,2416.27317486933,182.35163921255
134,E1UB4L,4691.93585618244,266.592511271268
135,E1UB4L,3037.74588310893,215.522047940746
136,E1UB4L,6351.88141665274,341.034875193825
137,E1UB4L,4060.40098279985,260.859935548909
138,E1UB4L,1883.05241742062,163.107040399334
139,E1UB4L,24509.066282068,724.578372057201
140,E1UB4L,9950.10236295687,389.057202661309
141,E1UB4L,83470.8166736145,1184.85774332251
142,E1UB4L,8948.05125435476,349.966019197479
143,E1UB4L,7843.76350503017,386.466411601652
144,E1UB4L,9277.60545815997,393.984394622182
145,E1UB4L,56081.9724359889,1011.39278195778
146,E1UB4L,8401.63119449394,340.576315635726
147,E1UB4L,29354.0394013941,760.444026233767
148,E1UB4L,21875.9953429375,689.418442319087
149,E1UB4L,72455.3193605559,1225.35395514602
150,E1UB4L,10645.4202135423,439.955201848355
151,E1UB4L,8912.00942637606,373.584198118649
152,E1UB4L,58073.3513669921,878.009642937498
153,E1UB4L,7375.93245286254,321.071780049985
154,E1UB4L,6529.32023567717,300.116067002162
155,E1UB4L,21101.168589108,631.123106526061
156,E1UB4L,9434.58910581878,355.897752123236
157,E1UB4L,22944.0472293207,651.259981545366
158,E1UB4L,4260.37050229751,238.07826850204
159,E1UB4L,10668.8946685933,395.057707470997
160,E1UB4L,8225.27813177543,339.375823793857
161,E1UB4L,4910.25283515872,255.600938726496
162,E1UB4L,6578.07890235408,306.251277114663
